assemblea,codice,status,elettori,votanti,perc_votanti,aggiornamento,sezioni_perv,sezioni,coll_uni_perv,coll_uni,sezioni_coll_uni_perv,sk_bianche,sk_nulle,sk_contestate,livello,fine_riparto
scrutiniCI,06110570401,ESERCIZIO,164,126,"76,82",Dato aggiornato al 05/03/2018 - 02:17,1,1,,,,5,12,0,C,
scrutiniCI,06110570410,ESERCIZIO,602,441,"73,25",Dato aggiornato al 05/03/2018 - 03:20,1,1,,,,7,12,0,C,
scrutiniCI,06110570440,ESERCIZIO,1006,710,"70,57",Dato aggiornato al 05/03/2018 - 09:26,1,1,,,,11,26,0,C,
scrutiniCI,06110570470,ESERCIZIO,4429,3213,"72,54",Dato aggiornato al 05/03/2018 - 05:55,5,5,,,,44,105,0,C,
scrutiniCI,06110570490,ESERCIZIO,1343,993,"73,93",Dato aggiornato al 05/03/2018 - 05:33,2,2,,,,18,49,0,C,
scrutiniCI,06110570510,ESERCIZIO,667,497,"74,51",Dato aggiornato al 05/03/2018 - 05:09,2,2,,,,7,22,0,C,
scrutiniCI,06110570521,ESERCIZIO,698,525,"75,21",Dato aggiornato al 05/03/2018 - 05:05,1,1,,,,10,22,0,C,
scrutiniCI,06110570560,ESERCIZIO,309,210,"67,96",Dato aggiornato al 05/03/2018 - 03:11,1,1,,,,3,6,0,C,
scrutiniCI,06110570580,ESERCIZIO,3640,2674,"73,46",Dato aggiornato al 05/03/2018 - 10:16,4,4,,,,56,115,0,C,
scrutiniCI,06110570590,ESERCIZIO,824,605,"73,42",Dato aggiornato al 05/03/2018 - 10:18,1,1,,,,18,52,0,C,
scrutiniCI,06110570620,ESERCIZIO,981,728,"74,20",Dato aggiornato al 05/03/2018 - 06:19,1,1,,,,11,32,0,C,
scrutiniCI,06110570630,ESERCIZIO,151,114,"75,49",Dato aggiornato al 05/03/2018 - 02:38,1,1,,,,4,5,0,C,
scrutiniCI,06110570640,ESERCIZIO,180,113,"62,77",Dato aggiornato al 05/03/2018 - 02:32,1,1,,,,5,6,0,C,
scrutiniCI,06110570650,ESERCIZIO,8282,5796,"69,98",Dato aggiornato al 05/03/2018 - 10:44,12,12,,,,101,214,0,C,
scrutiniCI,06110570660,ESERCIZIO,7775,5573,"71,67",Dato aggiornato al 05/03/2018 - 09:26,9,9,,,,88,175,4,C,
scrutiniCI,06110570720,ESERCIZIO,2160,1568,"72,59",Dato aggiornato al 05/03/2018 - 07:30,3,3,,,,28,88,0,C,
scrutiniCI,06110570730,ESERCIZIO,3512,2501,"71,21",Dato aggiornato al 05/03/2018 - 07:17,4,4,,,,40,99,0,C,
scrutiniCI,06110570760,ESERCIZIO,303,242,"79,86",Dato aggiornato al 05/03/2018 - 04:09,1,1,,,,6,8,0,C,
scrutiniCI,06110570800,ESERCIZIO,1788,1309,"73,21",Dato aggiornato al 05/03/2018 - 04:54,2,2,,,,32,106,0,C,
scrutiniCI,06110570810,ESERCIZIO,1953,1469,"75,21",Dato aggiornato al 05/03/2018 - 05:11,2,2,,,,31,85,0,C,
scrutiniCI,06110570850,ESERCIZIO,5070,3377,"66,60",Dato aggiornato al 05/03/2018 - 08:41,6,6,,,,52,161,0,C,
scrutiniCI,06110570870,ESERCIZIO,893,636,"71,22",Dato aggiornato al 05/03/2018 - 03:08,2,2,,,,10,20,0,C,
scrutiniCI,06110570880,ESERCIZIO,403,321,"79,65",Dato aggiornato al 05/03/2018 - 03:26,1,1,,,,7,15,0,C,
scrutiniCI,06110570920,ESERCIZIO,1292,963,"74,53",Dato aggiornato al 05/03/2018 - 07:21,2,2,,,,18,30,0,C,
scrutiniCI,06110570990,ESERCIZIO,11398,8063,"70,74",Dato aggiornato al 05/03/2018 - 05:27,15,15,,,,96,241,0,C,
