codice,cand_descr_riga,voti,perc
21220000000,MARIA SOAVE ALEMANNO,59132,"39,83"
21230000000,NADIA APRILE,61884,"41,86"
21240000000,GIOVANNI LUCA ARESTA,59680,"47,42"
21310000000,EMANUELE SCAGLIUSI,76772,"45,19"
21320000000,ROSALBA DE GIORGI,60673,"47,70"
21330000000,GIANPAOLO CASSESE,66276,"44,30"
21340000000,ANNA MACINA,54145,"44,50"
21410000000,GIUSEPPE D'AMBROSIO,73648,"48,98"
21420000000,CARLA GIULIANO,44831,"43,70"
21430000000,ANTONIO TASSO,50491,"43,80"
21440000000,ROSA MENGA,53654,"44,88"
22110000000,SALVATORE CAIATA,60706,"42,07"
22120000000,GIANLUCA ROSPI,78452,"46,29"
23110000000,CARMELO MASSIMO MISITI,55404,"45,66"
23120000000,FRANCESCO SAPIA,52640,"50,10"
23130000000,ANNA LAURA ORRICO,68065,"51,87"
23140000000,ELISABETTA MARIA BARBUTO,53983,"51,60"
23210000000,GIUSEPPE D'IPPOLITO DETTO PINO,52756,"45,50"
23220000000,WANDA FERRO,41620,"35,81"
23230000000,FRANCESCO CANNIZZARO,49798,"42,37"
23240000000,FEDERICA DIENI,45997,"36,55"
24110000000,LEONARDO SALVATORE PENNA DETTO ALDO,54389,"48,15"
24120000000,GIORGIO TRIZZINO,44192,"41,40"
24130000000,ROBERTA ALAIMO,49638,"48,71"
24210000000,VITTORIA CASA,55065,"43,65"
24220000000,GIUSEPPE CHIAZZESE DETTO MONGIOVI',70112,"46,81"
24230000000,PIERA AIELLO,77950,"51,19"
24310000000,DEDALO COSIMO GAETANO PIGNATONE DETTO DEDALO PIGNATONE,52891,"47,26"
24320000000,MICHELE SODANO,62587,"50,53"
24330000000,VITA MARTINCIGLIO,72029,"53,91"
25110000000,FRANCESCO D'UVA,61081,"45,33"
25120000000,ALESSIO MATTIA VILLAROSA,69726,"43,71"
25130000000,ANDREA GIARRIZZO,49764,"45,76"
25210000000,GIULIA GRILLO,69001,"46,28"
25220000000,MARIA LAURA PAXIA DETTA LAURA,67712,"47,58"
25230000000,SIMONA SURIANO,70531,"52,86"
25310000000,EUGENIO SAITTA,66873,"51,37"
25320000000,MARIALUCIA LOREFICE,68546,"52,18"
25330000000,MARIA MARZANA,53028,"52,76"
25340000000,PAOLO FICARA,66242,"57,90"
26110000000,ANDREA MURA,60442,"38,42"
26120000000,PINO CABRAS,80510,"45,78"
26130000000,LUCIANO CADEDDU,62483,"42,31"
26210000000,MARA LAPIA,53077,"45,14"
26220000000,MARIO PERANTONI,62385,"44,31"
26230000000,BERNARDO MARINO NOTO NARDO,50299,"38,73"
27010000000,ELISA TRIPODI,15999,"24,10"
28110000000,MARIA ELENA BOSCHI,37793,"41,23"
28120000000,ALBRECHT PLANGGER,41643,"61,17"
28130000000,RENATE GEBHARD,54665,"64,98"
28140000000,GIULIA ZANOTELLI,50559,"37,38"
28150000000,VANESSA CATTOI,39544,"37,50"
28160000000,MAURIZIO FUGATTI,32333,"44,56"
